mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
gdb_63496,CC1(O)CC1(C)OC=N,2.9834,1.09698,0.93864,4.6818,78.68,-0.2468,0.0273,0.2741,1326.1778,0.167065,-440.263995,-440.253698,-440.252754,-440.298921,37.903
gdb_102340,CNC(CN)(C#N)C#N,1.75666,1.37777,1.28527,3.5701,73.94,-0.2674,-0.0184,0.249,1160.4314,0.135468,-414.183886,-414.173844,-414.1729,-414.218709,35.438
gdb_93194,CC1COC(=O)C(=O)C1,2.87228,1.3423,0.95254,5.9656,69.44,-0.2552,-0.0766,0.1786,1201.3444,0.135444,-459.015424,-459.006947,-459.006003,-459.049267,30.977
gdb_21030,Cc1cc(n(n1)C)N,3.90305,1.71695,1.21358,3.0211,72.62,-0.2013,0.0439,0.2452,998.6029,0.142988,-360.071111,-360.062541,-360.061596,-360.10413,30.62
gdb_111754,CCC1C2CCC12CO,2.32302,1.16673,0.93233,1.574,85.98,-0.2452,0.0704,0.3156,1390.3007,0.205615,-388.262031,-388.252288,-388.251343,-388.296849,36.761
gdb_125930,CC1CC2=NNC(=O)N12,2.80797,1.62378,1.08677,3.843,71.0,-0.2167,0.0211,0.2379,1076.829,0.12583,-434.079109,-434.071227,-434.070283,-434.111967,29.056
gdb_81763,OC1C2NC2(C#N)C1O,3.30115,1.27033,1.08471,3.0458,67.16,-0.2616,-0.0032,0.2583,1086.6543,0.112709,-453.902126,-453.893894,-453.89295,-453.935402,30.446
gdb_119207,CN1CC1(CCO)C#C,1.88084,1.29273,0.89754,0.8969,82.72,-0.2309,0.0413,0.2722,1363.6042,0.167684,-403.071114,-403.060773,-403.059829,-403.106421,37.784
gdb_123996,C1NC1C1=NC=NN=N1,4.7402,1.20346,1.02986,4.2649,70.87,-0.2511,-0.088,0.1632,1105.6267,0.102473,-428.990018,-428.982931,-428.981987,-429.022259,25.655
gdb_95322,OC1COC2CC1CO2,2.61377,1.74254,1.45543,1.9691,69.41,-0.2501,0.0649,0.315,965.44,0.162407,-460.173213,-460.165941,-460.164997,-460.204549,29.568
gdb_124461,CC(C)(C)n1ncnn1,3.15591,1.32769,1.1793,3.0974,76.53,-0.2837,-0.0173,0.2665,1126.7072,0.15921,-415.390281,-415.38143,-415.380486,-415.424116,32.916
gdb_87546,CN1CC11C2CN2C1=O,2.71971,1.56854,1.20847,4.6318,74.0,-0.2415,-0.0195,0.2221,1055.7317,0.135344,-417.947291,-417.939275,-417.938331,-417.9798,30.256
gdb_130500,c1cncc2c1onc2,4.16024,1.65959,1.18634,0.8243,71.75,-0.2654,-0.0573,0.2081,933.2147,0.093459,-415.649521,-415.643811,-415.642867,-415.679574,22.75
gdb_32198,Cc1cncnc1CO,2.78363,1.45786,1.02578,1.3204,76.7,-0.2475,-0.0412,0.2063,1142.7224,0.137548,-418.060972,-418.052654,-418.05171,-418.094164,30.467
gdb_46386,O=C1CNC1CC1CC1,3.79009,0.89359,0.76815,2.5777,80.35,-0.2394,-0.0233,0.2161,1495.9939,0.170632,-403.126357,-403.117441,-403.116496,-403.161009,33.036
gdb_103197,CCC1(C)C2CC3C2N13,2.86192,1.48551,1.31635,1.5221,84.65,-0.2329,0.0872,0.3201,1102.2924,0.194432,-367.152551,-367.144056,-367.143112,-367.185351,33.975
gdb_104797,OCC1(CO)CC2CN12,2.66762,1.37684,1.14538,2.0773,74.26,-0.236,0.0517,0.2877,1138.0629,0.171068,-440.223675,-440.214842,-440.213898,-440.256894,34.106
gdb_11271,OC1CC=C(C1)C=O,4.25279,1.38389,1.16431,4.5189,69.58,-0.2477,-0.0537,0.1941,1018.6682,0.130203,-383.764796,-383.757175,-383.756231,-383.797019,28.025
gdb_119496,CCOC12CC1N1CC21,4.16446,1.00021,0.93355,2.3808,79.44,-0.2191,0.0709,0.29,1345.4662,0.169681,-403.046503,-403.037884,-403.036939,-403.080285,32.961
gdb_64719,NC1(CC#N)CN2CC12,3.92078,1.08979,1.03256,3.1763,75.5,-0.2415,0.02,0.2615,1189.0181,0.148338,-398.087633,-398.079158,-398.078214,-398.120802,32.162
gdb_44795,N=C1OC2CC12C1CO1,2.7946,1.54047,1.19461,2.7946,70.13,-0.2637,0.0129,0.2766,1039.9991,0.124,-437.825285,-437.817709,-437.816765,-437.857754,28.7
gdb_86773,OC1CC(CC#N)C1=O,3.9833,0.94183,0.81464,4.3914,69.84,-0.2661,-0.0439,0.2222,1348.8921,0.122791,-437.898807,-437.889781,-437.888837,-437.933449,31.775
gdb_43198,O=C1C2OCC2C11CC1,2.63582,1.69872,1.24332,3.9213,73.49,-0.2312,-0.0336,0.1976,1021.104,0.135967,-421.78723,-421.779625,-421.77868,-421.819555,28.897
gdb_35314,N#CC1NC2(CC12)C#N,5.61214,0.98227,0.91639,2.0097,72.54,-0.2646,-0.0285,0.2361,1202.4066,0.101881,-395.699802,-395.692143,-395.691199,-395.732296,28.252
gdb_110253,COC1C2N(C)C1C2=O,3.24433,1.2062,1.02663,2.0889,74.61,-0.2439,-0.0023,0.2415,1209.4317,0.14542,-439.002909,-438.994092,-438.993148,-439.036524,32.321
gdb_47563,O=C1CN2CC2CCO1,2.72461,1.57199,1.08447,5.0403,72.55,-0.243,0.0081,0.2512,1097.0388,0.149327,-439.080457,-439.072713,-439.071769,-439.113182,29.525
gdb_88198,CC1CC11COCCO1,3.29323,1.23261,1.05742,0.2704,79.37,-0.2335,0.0917,0.3252,1222.1972,0.183244,-424.210682,-424.202205,-424.201261,-424.243429,33.226
gdb_56633,CC(C#N)C1(C)CC1C,1.9938,1.35554,1.11219,3.8504,86.11,-0.2772,0.0369,0.3141,1264.6667,0.192525,-367.229359,-367.218969,-367.218024,-367.264423,38.448
gdb_120463,CCOC1CC(O)C1=O,3.87504,0.87341,0.77422,2.1011,73.61,-0.2348,-0.0337,0.2011,1507.8174,0.156314,-460.153391,-460.143459,-460.142515,-460.18903,34.961
gdb_36035,C#CCC1(CN1)C1CO1,3.68682,1.07196,0.93228,2.0673,77.22,-0.2462,0.0391,0.2853,1266.6665,0.146069,-401.860578,-401.851648,-401.850704,-401.894627,33.187
gdb_6455,CC1CC(O)(C1)C=O,4.57645,1.2664,1.18548,2.5153,69.23,-0.264,-0.0341,0.2299,1070.6101,0.151987,-384.947771,-384.939453,-384.938509,-384.980372,31.239
gdb_25010,c1c2n(cn1)CC(=O)C2,4.84599,1.29082,1.03241,1.485,71.16,-0.2271,-0.0432,0.1839,1071.3672,0.115531,-416.869509,-416.862763,-416.861819,-416.901089,25.804
gdb_131343,OC1=NNC(=N)C(=N)N1,3.15266,1.46895,1.00205,4.7016,70.48,-0.2058,-0.0247,0.1811,1086.2886,0.102934,-466.189334,-466.181482,-466.180538,-466.222217,29.64
gdb_32705,CCN=C1NC=NC=N1,4.67751,0.98264,0.85623,2.382,81.64,-0.2248,-0.0569,0.1678,1353.4564,0.138502,-414.229572,-414.221382,-414.220438,-414.263503,29.644
gdb_85360,CC1CC(=O)C=CC1O,2.87986,1.31785,1.0679,3.5749,77.82,-0.2387,-0.0526,0.1861,1158.9153,0.159154,-423.061301,-423.052562,-423.051618,-423.094465,33.389
gdb_78019,CN1CC2(C=O)C(O)C12,2.80653,1.30522,1.05971,4.2262,75.39,-0.216,-0.0264,0.1896,1167.287,0.145855,-439.037379,-439.028457,-439.027513,-439.070827,32.919
gdb_102817,CCC(NC=O)C1CN1,1.76439,1.44335,0.90025,4.1517,79.7,-0.2359,0.0214,0.2573,1360.7265,0.18251,-420.410687,-420.400699,-420.399755,-420.446106,35.868
gdb_40992,C1CC23C1N1C2CCC31,3.7977,1.52338,1.45403,1.7865,83.71,-0.2003,0.0694,0.2697,992.2378,0.173542,-365.88173,-365.875054,-365.87411,-365.912289,28.784
gdb_124331,CC(=O)n1cnc(n1)O,4.19765,1.16225,0.91532,0.5344,66.1,-0.2548,-0.0544,0.2004,1183.4209,0.101466,-470.063464,-470.055571,-470.054627,-470.096346,28.394
gdb_60259,CC(O)CC1OCC1O,2.99529,1.00169,0.83179,4.2661,75.45,-0.2438,0.0514,0.2952,1437.7812,0.180991,-461.340987,-461.331092,-461.330148,-461.376233,36.366
gdb_6678,C(COC=O)C(=O)N,7.39,0.76195,0.71987,4.7049,59.68,-0.2631,0.0081,0.2712,1469.6899,0.116784,-436.992034,-436.982784,-436.98184,-437.028458,30.164
gdb_71854,CC12OC3C=CCC1C23,3.31302,1.63437,1.35413,1.6273,79.35,-0.2162,0.0092,0.2254,1004.3352,0.160589,-385.866672,-385.859276,-385.858332,-385.898057,30.082
gdb_65843,CC1(COC(=O)N1)C#C,2.66962,1.3297,1.19546,4.8055,70.56,-0.269,0.0191,0.2882,1097.5098,0.123747,-437.903046,-437.894603,-437.893659,-437.936071,31.722
gdb_102917,CCC(OCC#N)C=O,1.78436,1.31011,0.88065,2.5603,73.12,-0.2624,-0.0416,0.2208,1354.3493,0.144491,-439.095361,-439.085279,-439.084335,-439.131621,34.551
gdb_68893,CC12CC1(O)CCC=C2,2.28023,1.75848,1.27629,1.2872,84.08,-0.2278,0.0235,0.2514,1085.6687,0.182773,-387.094127,-387.085406,-387.084462,-387.126785,34.823
gdb_3197,C1CC2CC1CO2,3.87658,3.32547,2.90946,1.6003,62.33,-0.2355,0.0828,0.3182,596.6758,0.15244,-309.733696,-309.728286,-309.727342,-309.76258,22.267
gdb_46634,O=C1OCC2=CCCC12,2.97324,1.60993,1.11111,4.2916,74.06,-0.246,-0.0043,0.2417,1062.0502,0.138478,-421.879041,-421.871925,-421.870981,-421.910813,27.594
gdb_81947,CC1C2NC2C(O)C1=O,2.38036,1.77642,1.192,4.3231,70.83,-0.2346,-0.0208,0.2139,1054.4836,0.147646,-439.086186,-439.077656,-439.076712,-439.119594,32.073
gdb_16127,N#CC12COCC1O2,4.81941,1.67824,1.45886,3.1701,58.9,-0.2823,-0.0084,0.2739,829.2325,0.096163,-398.585361,-398.578864,-398.57792,-398.616081,23.913
gdb_52206,O=CNCC1NC1C#C,3.85544,0.77368,0.70898,3.2268,77.72,-0.247,0.025,0.2719,1565.8042,0.135191,-417.967174,-417.957862,-417.956917,-418.002962,33.078
gdb_53215,CC#CC1OC(=N)C1N,3.18582,0.93699,0.84237,2.2875,79.75,-0.2433,0.0169,0.2602,1428.8694,0.135005,-417.972417,-417.962727,-417.961783,-418.008696,33.633
gdb_127749,Cn1c(c(nn1)O)C#N,2.15673,1.9087,1.01911,2.0607,69.05,-0.2553,-0.0538,0.2015,1067.4681,0.090278,-448.939986,-448.93206,-448.931116,-448.972811,28.025
gdb_82773,OC1C2OC3C2COC13,2.95028,1.8897,1.53009,2.3217,65.43,-0.2312,0.0615,0.2927,887.0691,0.138956,-458.930962,-458.924659,-458.923714,-458.961382,26.526
gdb_90462,CC1CC2C(C1)C2C#N,2.51301,1.39127,1.18433,4.0883,82.47,-0.2815,0.0323,0.3138,1149.3932,0.17292,-366.040038,-366.03172,-366.030776,-366.072904,32.167
gdb_15416,OCCC1OC1C=O,4.70016,0.9173,0.82005,1.3704,62.82,-0.2637,-0.0448,0.2188,1338.8491,0.127914,-420.851937,-420.843234,-420.84229,-420.886272,29.923
gdb_131953,Cc1cc(no1)N(=O)=O,4.7967,1.07815,0.88514,5.4861,64.7,-0.2871,-0.0959,0.1912,1217.6999,0.088049,-489.794779,-489.787032,-489.786088,-489.828146,26.908
gdb_50619,O=CC1CCC=CC1=O,2.48768,1.49683,0.97988,4.0,75.84,-0.2419,-0.0608,0.1811,1163.2483,0.135956,-421.874468,-421.866339,-421.865394,-421.907837,29.989
gdb_26036,CC(C#N)C1=CN=CO1,3.29789,1.13684,1.04946,3.3669,71.09,-0.2601,-0.0178,0.2423,1166.5504,0.113673,-416.853117,-416.845084,-416.84414,-416.886585,28.555
gdb_96473,OC1COCOC2CC12,2.29922,1.91596,1.3506,2.5617,70.57,-0.2498,0.0791,0.3289,996.714,0.161175,-460.140737,-460.133118,-460.132174,-460.172441,30.758
gdb_86872,CN1CC(NC1=O)C=O,2.79768,1.32408,1.07939,4.9777,70.0,-0.243,-0.0427,0.2003,1145.5889,0.136358,-455.200568,-455.19188,-455.190936,-455.234471,30.823
gdb_18691,O=C1OCCC2CC12,3.14409,2.36135,1.51101,4.5516,64.27,-0.2561,0.0073,0.2634,828.9647,0.132801,-383.769708,-383.763078,-383.762133,-383.800711,25.504
gdb_41405,C1CC23OCC2OCC13,2.46884,2.04084,1.42991,0.8563,73.94,-0.243,0.0704,0.3134,959.0956,0.161558,-423.003147,-422.996107,-422.995163,-423.034432,28.529
gdb_28858,OC1=NC=CC(=N)C=N1,3.35717,1.40742,1.05031,0.9215,78.34,-0.234,-0.0816,0.1524,1074.7145,0.103184,-432.886765,-432.879633,-432.878689,-432.918676,27.126
gdb_41590,C1CC2C1C1COCC21,2.73251,1.709,1.62162,1.4597,80.01,-0.2423,0.0744,0.3167,969.1125,0.186136,-387.064973,-387.057913,-387.056969,-387.096442,29.234
gdb_693,OC1CC2OC12,6.64811,3.82504,3.12955,1.9201,45.31,-0.2521,0.0773,0.3294,456.2711,0.096669,-306.320451,-306.315325,-306.31438,-306.348781,19.349
gdb_64905,NC1(CC1(O)C#N)C#C,2.03775,1.72164,1.10771,3.0897,73.73,-0.242,0.0035,0.2454,1085.6853,0.109865,-416.75217,-416.742863,-416.741919,-416.78574,34.628
gdb_84887,CC1N=COCC11CO1,2.30625,1.79494,1.29851,2.8931,72.13,-0.249,0.0237,0.2726,1026.09,0.148257,-439.075369,-439.067325,-439.066381,-439.107933,30.539
gdb_112780,COC1CC(C)C1C#N,2.40121,1.35365,0.98488,4.2116,79.94,-0.2633,0.0298,0.2931,1264.1637,0.169867,-403.149515,-403.139855,-403.138911,-403.184273,34.859
gdb_5374,CN=C1OC=CC=C1,5.04134,1.66328,1.26043,2.7414,74.89,-0.2065,-0.0432,0.1633,935.0832,0.119738,-362.691122,-362.683953,-362.683009,-362.722807,26.286
gdb_44728,O=C1CN2CC(C#N)C12,2.46755,1.66591,1.17344,4.2884,69.3,-0.2584,-0.0515,0.207,1024.9426,0.112868,-416.782675,-416.775118,-416.774174,-416.815547,27.834
gdb_133494,CC(=O)NCC(F)(F)F,3.34013,0.89611,0.84418,3.2517,55.72,-0.2588,0.0197,0.2785,1349.5941,0.107576,-585.493751,-585.484242,-585.483298,-585.530605,32.24
gdb_99539,CCC(C#C)C(O)C#N,2.19377,1.22286,0.83799,3.2514,78.27,-0.276,0.0052,0.2811,1366.9761,0.144568,-401.924499,-401.914172,-401.913228,-401.960041,36.818
gdb_58130,CC(O)C(C)(C)OC=O,2.64251,1.04623,0.91828,3.742,75.72,-0.2672,0.0092,0.2764,1362.2601,0.178139,-461.391928,-461.380975,-461.380031,-461.427547,39.743
gdb_69529,OC12CC1C1(O)CC21O,2.41361,1.7039,1.34696,2.4858,67.63,-0.1967,0.0462,0.2429,995.4357,0.132922,-458.867473,-458.858765,-458.857821,-458.900078,34.088
gdb_15658,COC1C=CCC1O,3.61725,1.74793,1.34242,1.7642,69.34,-0.2495,0.0136,0.2631,951.072,0.15382,-384.936246,-384.928224,-384.92728,-384.968836,29.846
gdb_100359,CC(CN)(NC=O)C#N,2.12333,1.30738,1.16049,5.9325,73.44,-0.2593,0.009,0.2683,1179.5931,0.147164,-435.298701,-435.288838,-435.287894,-435.333388,35.475
gdb_118600,CCCC(OC=N)C#C,1.92787,1.00304,0.68723,3.1128,84.73,-0.2654,0.0171,0.2825,1663.0327,0.167655,-403.114413,-403.103676,-403.102732,-403.151406,37.447
gdb_123250,CCCCCOCCC,10.2032,0.3692,0.36272,0.784,95.57,-0.2474,0.0897,0.337,3139.7086,0.249783,-390.70143,-390.689167,-390.688223,-390.740593,42.364
gdb_19287,CCC1C2CC2C1O,3.29695,1.69467,1.36295,1.3289,74.27,-0.2472,0.0604,0.3075,993.0171,0.177008,-348.975512,-348.96717,-348.966225,-349.008146,31.768
gdb_101845,COC(C)CCC1CC1,3.25399,0.68692,0.61979,1.1288,90.43,-0.2477,0.086,0.3337,1937.9291,0.226986,-389.476108,-389.465054,-389.46411,-389.51341,39.869
gdb_60968,CC1CC(O1)C(O)C=O,4.13417,0.88344,0.76826,2.5163,72.95,-0.2532,-0.0379,0.2153,1479.4565,0.156921,-460.156853,-460.147434,-460.14649,-460.191986,33.899
gdb_77086,CC1(O)CC(C=O)C1O,2.5347,1.34499,1.24037,1.7738,71.4,-0.2391,-0.041,0.1981,1106.3283,0.156838,-460.163389,-460.154017,-460.153073,-460.197108,35.34
gdb_16448,CC12OC1C1COC21,4.28138,1.99853,1.76137,2.7617,63.79,-0.2399,0.0574,0.2972,792.6232,0.130173,-383.669578,-383.662917,-383.661973,-383.700083,26.027
gdb_122854,COC(=O)CNCCO,5.37163,0.61621,0.58944,3.3652,73.27,-0.2405,0.0067,0.2472,1896.6039,0.16969,-477.437127,-477.426572,-477.425628,-477.474526,36.091
gdb_58960,CC(C)C12CCC1CO2,2.52061,1.40032,1.20099,1.5463,84.64,-0.236,0.0737,0.3097,1192.877,0.205216,-388.269618,-388.260283,-388.259339,-388.303615,35.859
gdb_98395,C(C(=N)N(C=O)C=O)O,2.96216,1.01616,0.84611,3.7269,66.02,-0.2672,-0.0517,0.2156,1321.417,0.109405,-491.095187,-491.085547,-491.084602,-491.130778,32.36
gdb_73990,CC1=C2CC3C2C3(O)C1,2.91759,1.6737,1.24829,1.8342,83.27,-0.2019,-0.0241,0.1779,1039.5963,0.158244,-385.792471,-385.784529,-385.783584,-385.824261,32.188
gdb_71079,CC12CN3C(=O)C1C23C,2.59807,1.59771,1.33975,4.7002,76.67,-0.238,0.0048,0.2428,1038.9455,0.146723,-401.91541,-401.90711,-401.906166,-401.947984,31.634
gdb_23199,CCC12CN1CC2=NO,2.24972,1.42633,0.97056,0.9821,80.43,-0.2288,0.0054,0.2343,1249.035,0.158146,-419.124048,-419.114977,-419.114033,-419.158022,33.897
gdb_123729,c1c(onn1)C2CCC2,5.00737,0.99561,0.9561,4.1799,75.67,-0.2645,-0.0358,0.2287,1253.4917,0.137124,-417.980586,-417.973023,-417.972079,-418.013614,28.103
gdb_130891,c1c2n(nc1C=O)CC2,5.82028,1.06295,0.90922,6.3478,77.67,-0.2421,-0.0426,0.1995,1217.1638,0.114435,-416.801647,-416.794424,-416.79348,-416.833704,26.499
gdb_127656,Cn1c2nncn2cn1,3.58654,1.763,1.19107,3.8935,69.28,-0.2249,-0.0203,0.2046,956.8792,0.103951,-429.043875,-429.036884,-429.03594,-429.076053,25.343
gdb_107371,OCC12CC1CC(=O)C2,3.19038,1.15675,0.96973,2.9214,74.99,-0.2426,-0.0194,0.2232,1235.2291,0.159138,-423.044231,-423.035761,-423.034816,-423.077595,32.486
gdb_31013,CC1=NC(C[NH3+])=C([O-])O1,3.7915,0.86363,0.70912,1.0644,77.4,-0.2517,-0.0701,0.1816,1589.4134,0.131983,-455.197796,-455.187024,-455.18608,-455.234408,36.688
gdb_72586,CC12CCC1(O)C(=N)O2,2.21464,1.66949,1.4785,1.9465,73.4,-0.2607,0.0178,0.2786,1016.1761,0.146332,-439.079603,-439.070872,-439.069927,-439.112654,33.069
gdb_100121,CCC(C)(O)CN1CC1,3.58733,0.86808,0.86024,2.023,86.44,-0.2298,0.061,0.2908,1525.282,0.214799,-405.521411,-405.510625,-405.50968,-405.55708,40.282
gdb_31305,COc1c([nH]cn1)C#C,2.46712,1.51097,0.94263,2.0798,80.72,-0.1946,-0.0032,0.1915,1186.5215,0.112606,-416.808836,-416.800336,-416.799392,-416.842214,30.893
gdb_3512,C1CC(C1)C2CC2,6.66636,1.60089,1.4037,0.033,71.79,-0.2635,0.0892,0.3527,916.0061,0.172983,-273.761223,-273.754193,-273.753248,-273.792406,26.878
gdb_118276,COCC(C)NCC#N,2.76504,0.75059,0.6374,4.8348,81.23,-0.2395,0.0281,0.2676,1782.3419,0.180943,-420.397599,-420.386812,-420.385868,-420.43449,37.413
gdb_57961,CC(O)C(=O)CC1CC1,3.69998,0.81024,0.728,2.8403,79.3,-0.2584,-0.0232,0.2352,1617.4223,0.180104,-424.234825,-424.224716,-424.223771,-424.271627,36.639
gdb_84863,CN1C=NCC=CC1=O,2.6391,1.71243,1.10295,1.2441,77.22,-0.2495,-0.0436,0.2059,1076.4022,0.137608,-418.043067,-418.034919,-418.033975,-418.076076,30.008
gdb_99957,CCC(C)(C)C(=O)C=O,2.61264,1.14625,0.97428,1.2603,79.19,-0.2469,-0.0934,0.1535,1316.0974,0.178407,-424.253685,-424.24285,-424.241906,-424.28958,38.793
gdb_45925,N=C1NC(=O)COC1=N,3.03169,1.49742,1.01456,2.1658,67.49,-0.2696,-0.0609,0.2087,1077.8054,0.103145,-470.056073,-470.048543,-470.047599,-470.08879,27.636
gdb_126616,CCCn1cn[nH]c1=O,3.40223,1.04435,0.85457,2.7473,73.31,-0.2203,0.018,0.2383,1364.0287,0.149045,-435.316406,-435.307482,-435.306538,-435.351434,31.749
gdb_13498,CC(C)C1CCC1C,2.941,1.51036,1.16422,0.062,84.91,-0.2777,0.0785,0.3562,1165.303,0.222938,-314.27398,-314.264494,-314.263549,-314.307511,36.225
gdb_113070,CC1C(CO)OC1CO,1.99737,1.26476,0.93863,2.4639,74.13,-0.2512,0.0511,0.3023,1334.3629,0.181619,-461.33573,-461.325777,-461.324832,-461.371069,36.319
gdb_129614,C(C#N)c1c([nH]nn1)N,3.34876,1.3107,0.97808,3.0077,67.83,-0.2289,-0.0006,0.2283,1116.5061,0.10279,-429.05958,-429.051529,-429.050585,-429.092694,29.12
gdb_89415,CC1CC2(O)CC2C1C,2.58111,1.38878,1.06116,1.0807,84.44,-0.2493,0.0769,0.3262,1233.7758,0.2058,-388.291175,-388.28193,-388.280986,-388.324474,36.968
gdb_133829,CC12C3C1C1=CC2OC31,3.25432,2.00549,1.82423,3.243,74.76,-0.2068,-0.0122,0.1946,830.161,0.136237,-384.564263,-384.557592,-384.556648,-384.594804,27.667
gdb_116800,CC(=O)CCN=COC,5.98757,0.49864,0.48298,3.0343,82.11,-0.2382,-0.0082,0.23,2283.9553,0.166658,-440.300413,-440.28918,-440.288236,-440.33953,36.99
gdb_32637,CCn1ccc(c1)C=O,5.03041,0.85503,0.78197,6.0329,84.21,-0.2259,-0.0238,0.2021,1470.8942,0.148081,-402.005821,-401.997088,-401.996144,-402.040337,31.596
gdb_125121,Cc1c(n[nH]c1O)C=O,3.23893,1.23821,0.90078,5.9317,71.04,-0.231,-0.0457,0.1853,1206.1367,0.112035,-453.974761,-453.965922,-453.964978,-454.009055,30.892
gdb_118509,COCC(OC)C1CC1,1.9214,1.17952,0.81253,1.9142,83.71,-0.2461,0.0766,0.3227,1521.8563,0.203123,-425.385593,-425.374738,-425.373793,-425.422982,37.996
gdb_15460,C1C=C(C(=O)N1)C#N,3.80646,1.85676,1.25779,7.1461,63.69,-0.2697,-0.0728,0.197,877.3307,0.085396,-377.58247,-377.575682,-377.574738,-377.613715,24.311
gdb_126951,CCNc1cc([nH]n1)C,4.87736,0.80353,0.7033,1.8443,84.53,-0.1856,0.0362,0.2218,1649.0824,0.171659,-399.358173,-399.348304,-399.34736,-399.394649,34.998
gdb_85666,CC1(C)C(O)CC1C#N,2.44844,1.26262,1.09468,4.7749,79.53,-0.2746,0.0305,0.3051,1204.2437,0.169259,-403.161702,-403.151914,-403.15097,-403.195847,36.552
gdb_62669,CC1(O)C2C1C1(C)CN21,3.31096,1.31475,1.18593,1.5219,79.66,-0.2156,0.0621,0.2777,1142.4445,0.168844,-403.060181,-403.051334,-403.05039,-403.092815,35.108
gdb_14736,COC=NCCCO,5.01987,0.70078,0.6245,2.063,72.65,-0.245,0.0269,0.2719,1753.162,0.163062,-402.179567,-402.169396,-402.168452,-402.215963,33.788
gdb_101928,COC(C1CC1)C(C)=O,1.95997,1.35118,0.97539,1.7972,79.57,-0.2303,-0.0148,0.2155,1324.3971,0.179167,-424.219684,-424.209106,-424.208162,-424.256374,37.041
gdb_128766,Cc1c(cno1)COC,3.15863,1.01777,0.80556,3.9748,76.06,-0.2482,-0.0055,0.2427,1425.7486,0.146302,-439.074842,-439.065511,-439.064567,-439.110693,32.158
gdb_112776,CN1CC(CO)C1C#N,2.38539,1.26092,0.93295,2.0854,76.3,-0.2338,0.0157,0.2495,1283.0606,0.158448,-419.185292,-419.175615,-419.174671,-419.220182,34.381
gdb_113964,OCC1OC1CC1CC1,3.82353,0.7393,0.72988,2.0384,79.14,-0.26,0.0784,0.3383,1654.7545,0.181515,-424.183996,-424.174356,-424.173411,-424.219901,35.123
gdb_31814,CCc1ncc(cn1)C,4.57774,0.99468,0.88526,2.0304,85.93,-0.2399,-0.0329,0.207,1383.3165,0.160084,-382.14363,-382.134561,-382.133616,-382.1801,32.122
gdb_67612,OC12C3CC4C1CN4C23,2.72244,2.1982,1.68963,2.4266,73.25,-0.2158,0.0768,0.2926,857.8589,0.150981,-401.900765,-401.894525,-401.893581,-401.930859,27.208
gdb_82248,OC1C2CN2C2COC12,2.41197,2.09935,1.48039,1.5736,69.32,-0.2338,0.049,0.2828,922.4263,0.150288,-439.032235,-439.025276,-439.024332,-439.063464,28.352
gdb_57873,CC(O)C(=O)N(C)C=N,3.16512,1.01908,0.8683,1.8513,76.31,-0.2589,-0.0264,0.2326,1368.9983,0.157928,-456.37747,-456.367313,-456.366369,-456.412959,36.07
gdb_112193,CCC1NC(=O)C11CN1,2.48957,1.29108,0.94769,5.1317,77.33,-0.238,0.0224,0.2604,1277.6617,0.159091,-419.201203,-419.192083,-419.191139,-419.235374,33.506
